base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,58,37.29463307776561,53.804395668887,7,random_seed_80,95035,15743,1638.5344827586207,3
62,311,58,37.20027976088362,53.63420288153995,7,random_seed_81,95178,15801,1641.0,3
62,311,59,37.241188191979305,53.552040846268966,7,random_seed_82,95116,15829,1612.135593220339,4
62,311,60,37.20621808152654,53.68115261598052,5,random_seed_83,95169,15785,1586.15,3
62,311,57,37.106586257406406,53.378913700519384,7,random_seed_84,95320,15888,1672.280701754386,2
62,311,57,37.21215640216947,53.648874673552626,8,random_seed_85,95160,15796,1669.4736842105262,3
62,311,59,37.42989482574328,53.93057308019602,7,random_seed_86,94830,15700,1607.2881355932204,4
62,311,56,37.29331345095607,53.9129669297808,9,random_seed_87,95037,15706,1697.0892857142858,3
62,311,58,37.22997136409823,53.64007159834502,8,random_seed_88,95133,15799,1640.2241379310344,4
62,311,61,37.2372293115507,53.44053522697262,5,random_seed_89,95122,15867,1559.377049180328,4
62,311,58,37.224033043455314,53.5461721294639,7,random_seed_90,95142,15831,1640.3793103448277,3
62,311,58,37.20093957428839,53.57845007189178,8,random_seed_91,95177,15820,1640.9827586206898,4
62,311,57,37.351377030575755,53.93350743859855,8,random_seed_92,94949,15699,1665.7719298245613,3
62,311,59,37.302550838622835,53.85721412013263,6,random_seed_93,95023,15725,1610.5593220338983,3
62,311,54,37.165309650430856,53.549106487866425,12,random_seed_94,95231,15830,1763.537037037037,4
62,311,57,37.352696657385295,53.96578538102644,8,random_seed_95,94947,15688,1665.7368421052631,3
62,311,58,37.323005054170686,53.760380292848964,7,random_seed_96,94992,15758,1637.7931034482758,3
62,311,59,37.17322741128809,53.66941518237037,7,random_seed_97,95219,15789,1613.8813559322034,4
62,311,56,37.350057403766215,53.86308283693771,9,random_seed_98,94951,15723,1695.5535714285713,3
62,311,57,37.28077699626546,53.72516799201854,6,random_seed_99,95056,15770,1667.6491228070176,1
62,311,59,37.242507818788845,53.604859297514594,5,random_seed_100,95114,15811,1612.1016949152543,2
62,311,56,37.176526478311935,53.150033745121625,10,random_seed_101,95214,15966,1700.25,4
62,311,56,37.21611528259808,53.61953108952727,9,random_seed_102,95154,15806,1699.1785714285713,3
62,311,57,37.23459005793161,53.65180903195517,7,random_seed_103,95126,15795,1668.877192982456,2
62,311,56,37.25504427347946,53.74570850083629,7,random_seed_104,95095,15763,1698.125,1
62,311,58,37.20555826812178,53.607793655917135,7,random_seed_105,95170,15810,1640.8620689655172,3
62,311,55,37.21479565578854,53.484550603010646,9,random_seed_106,95156,15852,1730.1090909090908,2
62,311,55,37.41537893083836,53.89829513776812,9,random_seed_107,94852,15711,1724.581818181818,2
62,311,60,37.15607226276409,53.3466357580915,4,random_seed_108,95245,15899,1587.4166666666667,2
62,311,57,37.26692091476531,53.58138443029432,8,random_seed_109,95077,15819,1668.017543859649,3
62,311,58,37.05314137162011,53.411191642947266,9,random_seed_110,95401,15877,1644.844827586207,5
62,311,57,37.157391889573624,53.34957011649403,9,random_seed_111,95243,15898,1670.9298245614036,4
62,311,59,37.140236741049634,53.27034243962557,7,random_seed_112,95269,15925,1614.7288135593221,4
62,311,57,37.18840311959778,53.46107573579037,7,random_seed_113,95196,15860,1670.1052631578948,2
62,311,59,37.28803494371792,53.596056222307,8,random_seed_114,95045,15814,1610.9322033898304,5
62,311,59,37.28341624988453,53.446403943777696,7,random_seed_115,95052,15865,1611.050847457627,4
62,311,56,37.305190092241915,53.75744593444644,10,random_seed_116,95019,15759,1696.767857142857,4
62,311,56,37.204898454717004,53.55497520467149,9,random_seed_117,95171,15828,1699.482142857143,3
62,311,59,37.281436809670225,53.95698230581883,6,random_seed_118,95055,15691,1611.1016949152543,3
62,311,57,37.1686087174547,53.58431878869685,8,random_seed_119,95226,15818,1670.6315789473683,3
62,311,58,37.366552738885446,54.00980075706446,7,random_seed_120,94926,15673,1636.655172413793,3
62,311,56,37.20027976088362,53.34076704128642,9,random_seed_121,95178,15901,1699.607142857143,3
62,311,60,37.263621847741454,53.53443469585375,5,random_seed_122,95082,15835,1584.7,3
62,311,53,37.29859195819422,53.78972387687432,12,random_seed_123,95029,15748,1793.0,3
62,311,57,37.341479829504216,53.83080489450982,8,random_seed_124,94964,15734,1666.0350877192982,3
62,311,57,37.20753770833608,53.62833416473488,9,random_seed_125,95167,15803,1669.5964912280701,4
62,311,58,37.333562068646984,53.58431878869685,7,random_seed_126,94976,15818,1637.5172413793102,3
62,311,56,37.33884057588514,53.87188591214531,8,random_seed_127,94968,15720,1695.857142857143,2
62,311,62,37.36589292548068,53.74570850083629,4,random_seed_128,94927,15763,1531.0806451612902,4
62,311,55,37.259003153908075,53.48748496141319,11,random_seed_129,95089,15851,1728.8909090909092,4
62,311,57,37.311128412884834,53.754511576043896,8,random_seed_130,95010,15760,1666.842105263158,3
62,311,59,37.31442747990868,53.654743390357694,6,random_seed_131,95005,15794,1610.2542372881355,3
62,311,57,37.282756436479765,53.851345403327564,9,random_seed_132,95053,15727,1667.5964912280701,4
62,311,57,37.18048535874055,53.68702133278559,7,random_seed_133,95208,15783,1670.3157894736842,2
62,311,59,37.172567597883315,53.3466357580915,5,random_seed_134,95220,15899,1613.8983050847457,2
62,311,57,37.17916573193101,53.39065113412952,9,random_seed_135,95210,15884,1670.3508771929824,4
62,311,58,37.34279945631375,53.695824407993186,7,random_seed_136,94962,15780,1637.2758620689656,3
62,311,59,37.10328719038256,53.208720913172336,7,random_seed_137,95325,15946,1615.677966101695,4
62,311,55,37.29067419733699,53.50509111182839,9,random_seed_138,95041,15845,1728.0181818181818,2
62,311,57,37.20225920109793,53.475747527803044,8,random_seed_139,95175,15855,1669.7368421052631,3
62,311,57,37.15541244935932,53.31729217406615,8,random_seed_140,95246,15909,1670.982456140351,3
62,311,58,37.241188191979305,53.58431878869685,6,random_seed_141,95116,15818,1639.9310344827586,2
62,311,58,37.30848915926576,53.59312186390446,6,random_seed_142,95014,15815,1638.1724137931035,2
62,311,53,37.1323189801924,53.32902960767628,12,random_seed_143,95281,15905,1797.754716981132,3
62,311,56,37.20093957428839,53.65180903195517,7,random_seed_144,95177,15795,1699.5892857142858,1
62,311,53,37.28209662307499,53.810264385692065,12,random_seed_145,95054,15741,1793.4716981132076,3
62,311,56,37.27945736945592,53.76624900965405,10,random_seed_146,95058,15756,1697.4642857142858,4
62,311,57,37.296612517979916,53.68115261598052,9,random_seed_147,95032,15785,1667.2280701754387,4
62,311,58,37.172567597883315,53.46107573579037,5,random_seed_148,95220,15860,1641.7241379310344,1
62,311,56,37.25966296731285,53.61072801431966,9,random_seed_149,95088,15809,1698.0,3
62,311,58,37.25372464666992,53.657677748760236,8,random_seed_150,95097,15793,1639.603448275862,4
62,311,55,37.12044233890656,53.39945420933713,10,random_seed_151,95299,15881,1732.709090909091,3
62,311,54,37.259003153908075,53.48748496141319,10,random_seed_152,95089,15851,1760.9074074074074,2
62,311,53,37.266261101360534,53.493353678218256,10,random_seed_153,95078,15849,1793.9245283018868,1
62,311,57,37.15607226276409,53.30848909885854,8,random_seed_154,95245,15912,1670.9649122807018,3
62,311,57,37.22073397643146,53.53150033745122,8,random_seed_155,95147,15836,1669.2456140350878,3
62,311,58,37.1323189801924,53.43173215176502,6,random_seed_156,95281,15870,1642.7758620689656,2
62,311,57,37.27021998178915,53.46107573579037,8,random_seed_157,95072,15860,1667.9298245614036,3
62,311,55,37.365233112075906,54.18586226121659,9,random_seed_158,94928,15613,1725.9636363636364,2
